,Title,Artist,Nationality,Years,Decades,Country
226,Carving Set,Carl Auböck,(Austrian),1968,1960,Other
227,Side Chair,Richard Riemerschmid,(German),1960,1960,Germany
228,Balcony Railing,Hector Guimard,(French),1960,1960,France
229,Link Bench (model 656),John Behringer,(American),1963,1960,America
230,Dark River Wall Hanging,Lenore Tawney,(American),1963,1960,America
231,Toaster (model HT 1),Reinhold Weiss,(German),1963,1960,Germany
232,Vase,Louis Comfort Tiffany,(American),1960,1960,America
233,Vase,Louis Comfort Tiffany,(American),1960,1960,America
234,Desk Fan (model HL1),Reinhold Weiss,(German),1963,1960,Germany
235,Portable Transistor Radio and Phonograph (model TP 1),Dieter Rams,(German),1963,1960,Germany
236,Triennale Chair,Poul Kjærholm,(Danish),1968,1960,Other
237,Vase,Louis Comfort Tiffany,(American),1960,1960,America
238,Vase,Louis Comfort Tiffany,(American),1960,1960,America
239,Vase,Louis Comfort Tiffany,(American),1960,1960,America
240,Vase,Louis Comfort Tiffany,(American),1960,1960,America
241,Vase,Louis Comfort Tiffany,(American),1960,1960,America
242,Vase,Louis Comfort Tiffany,(American),1960,1960,America
243,Covered Stockpots,"Adriano Lagostina, Massimo Lagostina",(Italian) (Italian),1968,1960,Other
244,Chess Set,Charles O. Perry,(American),1968,1960,America
245,Café Sign,Unknown Designer,(Nationality unknown),1968,1960,Unknown
246,Vase,Louis Comfort Tiffany,(American),1960,1960,America
247,Constructed Color Wall Hanging,Ed Rossbach,(American),1968,1960,America
248,Tapestry For Frances Lynn,Susan Weitzman,(American),1968,1960,America
249,Vase,Louis Comfort Tiffany,(American),1960,1960,America
250,Vase,Louis Comfort Tiffany,(American),1960,1960,America
251,Vase,Louis Comfort Tiffany,(American),1960,1960,America
252,Pillowcase,Claire Wagner Kosterlitz,(American),1965,1960,America
253,Pillowcase,Claire Wagner Kosterlitz,(American),1965,1960,America
254,Vase,Louis Comfort Tiffany,(American),1960,1960,America
255,Alms Box,Moshe Zabari,(American),1965,1960,America
256,Table Lamp (model 594),"Arteluce S.A., Milan",(),1965,1960,Unknown
257,Table Lamp (model 585),"Arteluce S.A., Milan",(),1965,1960,Unknown
258,Printed Fabric,"Atelier Martine, Paris, France",(),1967,1960,Unknown
259,Ashtray,Sergio Asti,(Italian),1965,1960,Other
260,Italicus Paper Shears (model 3/Neto),Antonia Campi,(Italian),1965,1960,Other
261,Star Underwater Flashlight,Ludovico Mares,(Italian),1965,1960,Other
262,Fork,Bruno Munari,(Italian),1965,1960,Other
263,Fork,Bruno Munari,(Italian),1965,1960,Other
264,Fork,Bruno Munari,(Italian),1965,1960,Other
265,Object,Enzo Mari,(Italian),1965,1960,Other
266,double spheres Object,Bruno Munari,(Italian),1965,1960,Other
267,Bowl,Tobia Scarpa,(Italian),1965,1960,Other
268,Vase,Louis Comfort Tiffany,(American),1960,1960,America
269,Jigger,Massimo Vignelli,(Italian),1965,1960,Other
270,Wall Hanging (Woven in 1964 under Albers' supervision from the original design),Anni Albers,(American),1965,1960,America
271,Trimline Telephone,"Donald Genaro, Henry Dreyfuss, Bell Telephone Laboratories",(American) (American) (American),1965,1960,America
272,Coffee Table,Paul Mayen,(American),1965,1960,America
273,Tapestry,Ed Rossbach,(American),1965,1960,America
274,40/4 Stacking Chair,David Rowland,(American),1965,1960,America
275,40/4 Stacking Chair,David Rowland,(American),1965,1960,America
276,40/4 Stacking Chair,David Rowland,(American),1965,1960,America
277,Candlestick,Louis Comfort Tiffany,(American),1960,1960,America
278,Candlestick,Louis Comfort Tiffany,(American),1960,1960,America
279,Incandescent Bulb (model 85),Tapio Wirkkala,(Finnish),1962,1960,Other
280,Incandescent Bulb (model WIR105),Tapio Wirkkala,(Finnish),1962,1960,Other
281,Candlestick,Louis Comfort Tiffany,(American),1960,1960,America
282,Greta (no. 55),Sheila Hicks,(American),1962,1960,America
283,Hat Pin,Percy Stamp,(British),1962,1960,England
284,Platter,Nanny Still,(Finnish),1962,1960,Other
285,Platter,Nanny Still,(Finnish),1962,1960,Other
286,Kodiak Special Bow,Bill Stewart,(American),1962,1960,America
287,Crossbow,Anton Rüegg,(Swiss),1962,1960,Other
288,Safety Helmet (model 500-TX),"Roy Richter, Frank Heacox",(American) (American),1962,1960,America
289,Helmet Shield (model 235-3),Thomas V. Paulson,(American),1962,1960,America
290,Ice Axe,Fratelli Grivel (now Grivel S.r.l.),(Italian),1962,1960,Other
291,Jai alai cesta,José Echavé,(Spanish),1962,1960,Spain
292,Hunting Knife,Deane Russell,(Canadian),1962,1960,Other
293,Fishing Knife,Angelo Patin,(Italian),1962,1960,Other
294,Sailing Knife and Marlinespike (model 468),Charles Currey,(British),1962,1960,England
295,Target Pistol (model 103),"Hämmerli, Ltd., Lenzburg, Switzerland",(Swiss),1962,1960,Other
296,Skis,Howard Head,(American),1962,1960,America
297,Expert Model Surfboard,Hobie Alter,(American),1962,1960,America
298,Cricket Bat (model 9000),"Slazengers Ltd., England",(British),1962,1960,England
299,Hand Mirror,Unknown Designer,(British),1960,1960,England
300,Vase,Jacques Sicard,(French),1960,1960,France
301,Trivet,Louis Comfort Tiffany,(American),1960,1960,America
302,Floor Lamp,Louis Comfort Tiffany,(American),1960,1960,America
303,Tumblers,Louis Comfort Tiffany,(American),1960,1960,America
304,"Kant-Twist 10"" Clamp","The Custanite Corp., Brooklyn, NY",(),1960,1960,Unknown
305,Barbecue Knife,Jerry Moberg,(American),1960,1960,America
306,Nutcracker,Robert Welch,(British),1960,1960,England
307,Chair (model 248),Clement Meadmore,(Australian),1967,1960,Other
308,Ashtray,Robert S. Gargiuli,(American),1960,1960,America
309,Nesso Table Lamp,"Giancarlo Mattioli, Gruppo Architetti Urbanisti Città Nuova",(Italian) (Italian),1967,1960,Other
310,Cigarette Container,Unknown Designer,(Nationality unknown),1960,1960,Unknown
311,Tumblers,"Continental Can Co., USA",(American),1967,1960,America
312,Wine Bottle Stand,,,1960,1960,Unknown
313,Tumblers,"Continental Can Co., USA",(American),1967,1960,America
314,Memo Paper Tray,Skidmore Owings & Merrill,(American),1960,1960,America
315,Necklace,Henri Tronquoy,(French),1967,1960,France
316,Cigarette Box,Javier Carvajal,(Spanish),1960,1960,Spain
317,Wristwatch Face,Nathan George Horwitt,(American),1960,1960,America
318,Lounge Chair and Ottoman,"Charles Eames, Ray Eames",(American) (American),1960,1960,America
319,Near East Wall Hanging,Mary Walker Phillips,(American),1969,1960,America
320,Easy Chair (Fauteuil Grand Confort),"Le Corbusier (Charles-Édouard Jeanneret), Pierre Jeanneret, Charlotte Perriand",(French) (Swiss) (French),1960,1960,France
321,Solar Lounge Chair,Carlo Bartoli,(Italian),1969,1960,Other
322,Blue Letter,Sheila Hicks,(American),1960,1960,America
323,Vase (model 3580),Tapio Wirkkala,(Finnish),1960,1960,Other
324,Stacking Side Chair,Verner Panton,(Danish),1969,1960,Other
325,Vase,Ward Bennett,(American),1960,1960,America
326,Vase,Ward Bennett,(American),1960,1960,America
327,Desk,Frank Lloyd Wright,(American),1969,1960,America
328,Paperweight,"Robert Dumas-Hermes, Ward Bennett",(French) (American),1960,1960,France
329,Desk Mounts,August Endell,(German),1961,1960,Germany
330,Turntable,David Gammon,(British),1969,1960,England
331,Object,Enzo Mari,(Italian),1960,1960,Other
332,Glasses,Peter Behrens,(German),1961,1960,Germany
333,Carousel-S Slide Projector,"Hans Gugelot, Reinhold Häcker",(German) (Swiss),1969,1960,Germany
334,Object,Enzo Mari,(Italian),1960,1960,Other
335,Candlestick,Joseph Maria Olbrich,(Austrian),1961,1960,Other
336,Ateljee Armchair,Yrjö Kukkapuro,(Finnish),1966,1960,Other
337,Executary Transcribing Machine (model 272),Eliot Noyes and Associates,(American),1969,1960,America
338,"""Ponza"" Floor Ashtray (model 2001A)",Bruno Munari,(Italian),1960,1960,Other
339,Door Hardware,Louis Sullivan,(American),1961,1960,America
340,Puukko Knife and Sheath,Tapio Wirkkala,(Finnish),1966,1960,Other
341,Computer Tape Package Series 500,"John Stram, Jack Stringer, Carl Norby",(American) (American) (American),1969,1960,America
342,Salt and Pepper Shakers,Kristian Vedel,(Danish),1960,1960,Other
343,Cocktail Goblets,"Desny, Paris",(French),1961,1960,France
344,Hanging Light Structure,Peter Hamburger,(American),1969,1960,America
345,Bowl,Kristian Vedel,(Danish),1960,1960,Other
346,Wall Clock (model 32/0389),Max Bill,(Swiss),1961,1960,Other
347,Djinn Chaise Longue,Olivier Mourgue,(French),1966,1960,France
348,Cylinda Ice Bucket,Arne Jacobsen,(Danish),1969,1960,Other
349,Ashtray,"Arabia, Wärtsilä Ab, Helsinki, Finland",(Finnish),1960,1960,Other
350,Wall Hanging,Sheila Hicks,(American),1961,1960,America
351,Glasses (model 20/200),Hans Theo Baumann,(German),1966,1960,Germany
352,Cylinda Salt and Pepper Shakers,Arne Jacobsen,(Danish),1969,1960,Other
353,Hot-Water Bottle,"Baldioli Eustasio & Figli, Omegna, Italy",(Italian),1960,1960,Other
354,Object,Enzo Mari,(Italian),1961,1960,Other
355,Zig-Zag Chair,Gerrit Rietveld,(Dutch),1966,1960,Other
356,Disposable Flashlight,Jay Monroe,(American),1969,1960,America
357,Container for Liquids,Roberto Menghi,(Italian),1960,1960,Other
358,"""Fuga"" Bowl",Sven Palmqvist,(Swedish),1961,1960,Other
359,Armchair,Joe Colombo,(Italian),1966,1960,Other
360,Attack-Survival Knife (model 18),W. D. Randall,(American),1969,1960,America
361,Cube Container,Thomas W. Winstead,(American),1960,1960,America
362,Vase,Gunnar Cyrén,(Swedish),1961,1960,Other
363,Floor Lamp (model 1008),"Vittorio Gregotti, Lodovico Meneghetti, Giotto Stoppino",(Italian) (Italian) (Italian),1966,1960,Other
364,Vat,"Van Leer Vatenfabrieken N.V., Amstelveen, The Netherlands",(Dutch),1960,1960,Other
365,Vase,Nils Landberg,(Swedish),1961,1960,Other
366,Perpetual Calendar,Enzo Mari,(Italian),1966,1960,Other
367,Special Battery-Powered Photo Flash,Dieter Rams,(German),1960,1960,Germany
368,Bowl,Co Derr,(Swedish),1961,1960,Other
369,Girondella Kinetic Object,Bruno Munari,(Italian),1966,1960,Other
370,Multipress Juice Extractor (model MP 3),Gerd Alfred Müller,(German),1960,1960,Germany
371,Dinner Plate,"Arabia, Wärtsilä Ab, Helsinki, Finland",(Finnish),1961,1960,Other
372,Object,Takako Saito,(American),1966,1960,America
373,Pitcher,Aage Helbig Hansen,(Danish),1961,1960,Other
374,Object,Takako Saito,(American),1966,1960,America
375,Footed Bowl,David Kindersley,(British),1961,1960,England
376,Object,Takako Saito,(American),1966,1960,America
377,Prayer Rug,Sheila Hicks,(American),1966,1960,America
378,Viscontea Hanging Lamp,"Achille Castiglioni, Pier Giacomo Castiglioni, Livio Castiglioni",(Italian) (Italian) (Italian),1963,1960,Other
379,Heater-Ventilator (model H1),Dieter Rams,(German),1960,1960,Germany
380,Vase,Hans Coper,(British),1960,1960,England
381,Free-Hanging Room Divider,Anni Albers,(American),1960,1960,America
382,Free-Hanging Room Divider,Anni Albers,(American),1960,1960,America
383,Free-Hanging Room Divider,Anni Albers,(American),1960,1960,America
384,Free-Hanging Room Divider,Anni Albers,(American),1960,1960,America
385,Vase,Tapio Wirkkala,(Finnish),1964,1960,Other
386,Cheese Plate and Cover,Yki Nummi,(Finnish),1964,1960,Other
387,Balloon Stackable Containers,"Form GmbH, Germany",(German),1964,1960,Germany
388,Stacking Tableware (model TC 100),Nick Roericht,(German),1964,1960,Germany
389,Stacking Tableware (model TC 100) Soup Bowl,Nick Roericht,(German),1964,1960,Germany
390,Elilav Washbowl,Douglas Scott,(British),1964,1960,England
391,White Letter,Sheila Hicks,(American),1964,1960,America
392,Vase,Harvey Littleton,(American),1964,1960,America
393,Wall Clock (model 6770),"Irving Harper, George Nelson Associates",(American) (American),1964,1960,America
394,Window Blinds,Eric Randmark,(Swedish),1964,1960,Other
395,Taraxacum Hanging Lamp,"Achille Castiglioni, Pier Giacomo Castiglioni, Livio Castiglioni",(Italian) (Italian) (Italian),1963,1960,Other
396,L'Ora X Clock,Bruno Munari,(Italian),1963,1960,Other
397,Dish (no. 263),James Prestini,(American),1960,1960,America
398,Platter (no. 258),James Prestini,(American),1960,1960,America
399,Platter (no. 253),James Prestini,(American),1960,1960,America
400,Tray,James Prestini,(American),1960,1960,America
401,Tray,James Prestini,(American),1960,1960,America
402,Chair,Isamu Kenmochi,(Japanese),1964,1960,Other
403,Chair,Isamu Kenmochi,(Japanese),1964,1960,Other
404,Stool (model S-302),Isamu Kenmochi,(Japanese),1964,1960,Other
405,Microphone (model MD9),Marko Turk,(Slovenian),1964,1960,Other
406,Microphone (model MD8-C),Marko Turk,(Slovenian),1964,1960,Other
407,Vase,Louis Comfort Tiffany,(American),1960,1960,America
408,Speaker with Stand (model L 60),Dieter Rams,(German),1964,1960,Germany
409,Speaker (model LE 1),Dieter Rams,(German),1964,1960,Germany
410,Transistor Radio (model T 580),Dieter Rams,(German),1964,1960,Germany
411,Audio 1 Radio-Phonograph (model TC 40),Dieter Rams,(German),1964,1960,Germany
412,Slide Viewer and Projector (model D 6 Combiscop),Dieter Rams,(German),1964,1960,Germany
413,Grill (model HG 1),Reinhold Weiss,(German),1964,1960,Germany
414,Kitchen Machine (model KM 32),"Gerd Alfred Müller, Robert Oberheim",(German) (German),1964,1960,Germany
415,Necklace,Henri Tronquoy,(French),1967,1960,France
416,Necklace,Henri Tronquoy,(French),1967,1960,France
417,Chair and Ottoman (model 162),"Darrell Landrum, Louis J. Zerbee",(American) (American),1963,1960,America
418,Chaise Longue (model 715RO),Richard Schultz,(American),1963,1960,America
419,MR Side Chair,Ludwig Mies van der Rohe,(American),1963,1960,America
420,Sling Sofa,"George Nelson, Ronald Beckman, John Svezia, Ray Wilkes, Irving Harper, George Nelson Associates",(American) (American) () () (American) (American),1963,1960,America
421,Armchair (model ti 244),Josef Albers,(American),1963,1960,America
422,Slide Viewer,Eugene Martinez,(American),1963,1960,America
423,Sfericlock Alarm Clock,Rodolfo Bonetto,(Italian),1963,1960,Other
424,Marco Vase,Sergio Asti,(Italian),1963,1960,Other
425,Marco Vase,Sergio Asti,(Italian),1963,1960,Other
426,Marco Vase,Sergio Asti,(Italian),1963,1960,Other
427,Lampette Reading Lamp (model E6),"Koch Creations, Lynbrook, NY",(),1963,1960,Unknown
428,Object,Enzo Mari,(Italian),1963,1960,Other
429,Ice Bucket,"Mort N. Marton, Beryl Marton",(American) (American),1963,1960,America
